,Titel,Namenszusatz,Nachname,Vornamen,Gebietsart,Gebietsnummer,Gebietsname,Name,id,name
71,,,Gramling,Fabian,Wahlkreis,266,Neckar-Zaber,Fabian Gramling,7.383582765601505e+17,Fabian Gramling
72,,,Gremmels,Timon,Wahlkreis,168,Kassel,Timon Gremmels,494809842,
73,,,Grund,Manfred,Wahlkreis,189,Eichsfeld – Nordhausen – Kyffhäuserkreis,Manfred Grund,,
74,,,Grundmann,Oliver,Wahlkreis,30,Stade I – Rotenburg II,Oliver Grundmann,,
75,Dr.,,Gräßle,Ingeborg,Wahlkreis,269,Backnang – Schwäbisch Gmünd,Ingeborg Gräßle,429065822,
76,,,Gröhe,Gottfried,Wahlkreis,108,Neuss I,Gottfried Gröhe,94363834,
77,,,Grübel,Markus,Wahlkreis,261,Esslingen,Markus Grübel,7.966912900165837e+17,Markus Grübel
78,,,Grütters,Monika,Wahlkreis,77,Berlin-Reinickendorf,Monika Grütters,,
79,,,Gutting,Olav,Wahlkreis,278,Bruchsal – Schwetzingen,Olav Gutting,58429842.0,Olav Gutting
80,,,Gysi,Gregor,Wahlkreis,84,Berlin-Treptow-Köpenick,Gregor Gysi,888289790.0,Gregor Gysi
81,,,Haase,Christian,Wahlkreis,136,Höxter – Lippe II,Christian Haase,,
82,,,Habeck,Robert,Wahlkreis,1,Flensburg – Schleswig,Robert Habeck,,
83,,,Hagedorn,Bettina,Wahlkreis,9,Ostholstein – Stormarn-Nord,Bettina Hagedorn,,
84,,,Hahn,Florian,Wahlkreis,221,München-Land,Florian Hahn,403735368.0,Florian Hahn
85,,,Hakverdi,Metin,Wahlkreis,23,Hamburg-Bergedorf – Harburg,Metin Hakverdi,1043288618.0,Metin Hakverdi
86,,,Hauer,Matthias,Wahlkreis,120,Essen III,Matthias Hauer,1158585210,
87,,,Heidenblut,Dirk,Wahlkreis,119,Essen II,Dirk Heidenblut,,
88,,,Heil,Mechthild,Wahlkreis,198,Ahrweiler,Mechthild Heil,974367631.0,Mechthild Heil
89,,,Heil,Wolfgang-Hubertus,Wahlkreis,45,Gifhorn – Peine,Wolfgang-Hubertus Heil,15943222,
90,,,Heiligenstadt,Frauke,Wahlkreis,52,Goslar – Northeim – Osterode,Frauke Heiligenstadt,20715527.0,Frauke Heiligenstadt
