,Nachname,Vornamen,Gebietsart,Gebietsnummer,Gebietsname,Gruppenname,Name,id,name
58,Farle,Robert,Wahlkreis,74,Mansfeld,AfD,Robert Farle,2958611710.0,Robert Farle
59,Fiedler,Sebastian,Wahlkreis,118,Mülheim – Essen I,SPD,Sebastian Fiedler,417280296.0,Sebastian Fiedler
60,Franke,Edgar,Wahlkreis,170,Schwalm-Eder,SPD,Edgar Franke,,
61,Frei,Thorsten,Wahlkreis,286,Schwarzwald-Baar,CDU,Thorsten Frei,1.1815985785082143e+18,Thorsten Frei
62,Friedrich,Hans-Peter,Wahlkreis,239,Hof,CSU,Hans-Peter Friedrich,,
63,Frieser,Michael,Wahlkreis,245,Nürnberg-Süd,CSU,Michael Frieser,4577700622.0,Michael Frieser
64,Färber,Hermann,Wahlkreis,263,Göppingen,CDU,Hermann Färber,,
65,Fäscher,Ariane,Wahlkreis,58,Oberhavel – Havelland II,SPD,Ariane Fäscher,1.371580189000487e+18,Ariane Fäscher
66,Gava,Manuel,Wahlkreis,39,Stadt Osnabrück,SPD,Manuel Gava,,
67,Geissler,Jonas,Wahlkreis,238,Coburg,CSU,Jonas Geissler,3375074608.0,Jonas Geissler
68,Gelbhaar,Stefan,Wahlkreis,76,Berlin-Pankow,GRÜNE,Stefan Gelbhaar,426582569.0,Stefan Gelbhaar
69,Gerdes,Michael,Wahlkreis,125,Bottrop – Recklinghausen III,SPD,Michael Gerdes,2468956470.0,Michael Gerdes
70,Glöckner,Angelika,Wahlkreis,210,Pirmasens,SPD,Angelika Glöckner,976421048.0,Angelika Glöckner
71,Gramling,Fabian,Wahlkreis,266,Neckar-Zaber,CDU,Fabian Gramling,7.383582765601505e+17,Fabian Gramling
72,Gremmels,Timon,Wahlkreis,168,Kassel,SPD,Timon Gremmels,,
73,Grund,Manfred,Wahlkreis,189,Eichsfeld – Nordhausen – Kyffhäuserkreis,CDU,Manfred Grund,,
74,Grundmann,Oliver,Wahlkreis,30,Stade I – Rotenburg II,CDU,Oliver Grundmann,,
75,Gräßle,Ingeborg,Wahlkreis,269,Backnang – Schwäbisch Gmünd,CDU,Ingeborg Gräßle,,
